tokens;intent
Gib mir den Vornamen;NAME_BEKOMMEN
Wie wird er geschrieben;NAME_BEKOMMEN
Wer genau ist das;NAME_BEKOMMEN
Könntest du mir den Namen geben;NAME_BEKOMMEN
Wie heißt die Person;NAME_BEKOMMEN
Name vom Patienten;NAME_BEKOMMEN
Ich möchte den Namen wissen;NAME_BEKOMMEN
Was ist sein voller Name;NAME_BEKOMMEN
Wie alt ist der Patient;ALTER_BEKOMMEN
Alter;ALTER_BEKOMMEN
Gib mir das Alter;ALTER_BEKOMMEN
Ich brauche sein Alter;ALTER_BEKOMMEN
Können Sie mir das Alter sagen;ALTER_BEKOMMEN
Er ist wie alt;ALTER_BEKOMMEN
Was ist das Alter;ALTER_BEKOMMEN
Wie viele Jahre alt ist er;ALTER_BEKOMMEN
Ist er schon volljährig;ALTER_BEKOMMEN
Ist er über achtzehn;ALTER_BEKOMMEN
Alter vom Patienten;ALTER_BEKOMMEN
Ich brauche das genaue Alter;ALTER_BEKOMMEN
Wie alt ist sie;ALTER_BEKOMMEN
Wie jung ist er;ALTER_BEKOMMEN
Kannst du mir sagen wie alt er ist;ALTER_BEKOMMEN
Ich frage mich wie alt sie ist;ALTER_BEKOMMEN
Sag mir bitte das Alter;ALTER_BEKOMMEN
Welches Alter hat er;ALTER_BEKOMMEN
Wie viele Jahre zählt er;ALTER_BEKOMMEN
Wie alt genau;ALTER_BEKOMMEN
Wo wohnt der Patient;ADDRESSE_BEKOMMEN
Adresse;ADDRESSE_BEKOMMEN
Gib mir die Anschrift;ADDRESSE_BEKOMMEN
Ich brauche die Adresse;ADDRESSE_BEKOMMEN
Können Sie mir die Adresse geben;ADDRESSE_BEKOMMEN
Wo ist sein Wohnort;ADDRESSE_BEKOMMEN
Wohnort vom Patienten;ADDRESSE_BEKOMMEN
Anschrift;ADDRESSE_BEKOMMEN
Postanschrift bitte;ADDRESSE_BEKOMMEN
Wo lebt der Patient;ADDRESSE_BEKOMMEN
Ich suche die Adresse;ADDRESSE_BEKOMMEN
Welche Adresse steht drin;ADDRESSE_BEKOMMEN
Wie lautet die Adresse;ADDRESSE_BEKOMMEN
Hat er eine neue Adresse;ADDRESSE_BEKOMMEN
Adresse des Patienten;ADDRESSE_BEKOMMEN
Ich muss wissen wo er wohnt;ADDRESSE_BEKOMMEN
Bitte nenne mir seine Adresse;ADDRESSE_BEKOMMEN
Wohnort;ADDRESSE_BEKOMMEN
Wo ist der Wohnsitz;ADDRESSE_BEKOMMEN
Adresse vom Hauptwohnsitz;ADDRESSE_BEKOMMEN
Wann ist der Patient geboren;GEBURTSDATUM_BEKOMMEN
Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Ich brauche das Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Wann wurde er geboren;GEBURTSDATUM_BEKOMMEN
Was ist sein Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Geburtsdatum vom Patienten;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde er geboren;GEBURTSDATUM_BEKOMMEN
Ich möchte wissen wann er geboren wurde;GEBURTSDATUM_BEKOMMEN
Sein Geburtstag;GEBURTSDATUM_BEKOMMEN
Wann ist sie zur Welt gekommen;GEBURTSDATUM_BEKOMMEN
Wann genau ist er geboren;GEBURTSDATUM_BEKOMMEN
Ich brauche sein Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Wie lautet das Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Tag der Geburt;GEBURTSDATUM_BEKOMMEN
Wann war die Geburt;GEBURTSDATUM_BEKOMMEN
Gib mir bitte das Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Wann wurde die Person geboren;GEBURTSDATUM_BEKOMMEN
Geboren am;GEBURTSDATUM_BEKOMMEN
Ich suche das Geburtsdatum;GEBURTSDATUM_BEKOMMEN
Wann feiert er Geburtstag;GEBURTSDATUM_BEKOMMEN
Wie lautet die Krankenversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir die Versicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich brauche die KV-Nummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Versicherungsnummer vom Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Krankenversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Könnten Sie mir die Nummer der Krankenversicherung geben;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Versicherungsnummer hat er;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich suche die Krankenversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir die Nummer der Krankenversicherung;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir die KV-Nummer nennen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Versichert bei welcher Krankenkasse;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Hat der Patient eine Krankenversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was steht in der Krankenversicherungsnummer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Ich brauche die Versicherungsdaten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Krankenversicherungsnummer vom Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wann wurde er versichert;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Die Versicherungsnummer bitte;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Nummer der Versicherung;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie heißt der Patient;NAME_BEKOMMEN
Wie lautet der Name des Patienten;NAME_BEKOMMEN
Kannst du mir den Namen des Patienten sagen;NAME_BEKOMMEN
Wie heißt die Patientin;NAME_BEKOMMEN
Wie lautet ihr voller Name;NAME_BEKOMMEN
Welchen Namen hat der Klient;NAME_BEKOMMEN
Wie heißt Herr Müller;NAME_BEKOMMEN
Wie heißt Frau Schmidt;NAME_BEKOMMEN
Nenne mir bitte den Namen des Klienten;NAME_BEKOMMEN
Wer ist der Patient mit dem Nachnamen Wagner;NAME_BEKOMMEN
Wie heißt der Patient mit Vornamen;NAME_BEKOMMEN
Wie lautet der Nachname der Patientin;NAME_BEKOMMEN
Sag mir den vollständigen Namen von Frau Becker;NAME_BEKOMMEN
Wie heißt der Klient genau;NAME_BEKOMMEN
Welchen vollständigen Namen trägt Herr Meier;NAME_BEKOMMEN
Wer ist Frau Fischer;NAME_BEKOMMEN
Wie heißt Herr Braun;NAME_BEKOMMEN
Wie lautet der Name der neuen Patientin;NAME_BEKOMMEN
Welchen Namen hat der Patient im Ausweis stehen;NAME_BEKOMMEN
Wer ist der Klient namens Beck;NAME_BEKOMMEN
Wie heißt der Mann den du behandelst;NAME_BEKOMMEN
Sag mir bitte den Namen der Frau die heute kommt;NAME_BEKOMMEN
Wie heißt der Patient den du gerade siehst;NAME_BEKOMMEN
Kennst du den Namen des nächsten Patienten;NAME_BEKOMMEN
Wie spricht man den Namen der Patientin aus;NAME_BEKOMMEN
Wie heißt der Klient mit Vornamen;NAME_BEKOMMEN
Wie lautet der korrekte Name des Patienten;NAME_BEKOMMEN
Wer ist Frau Maier;NAME_BEKOMMEN
Wie heißt der Herr der eben anrief;NAME_BEKOMMEN
Gib mir bitte den Namen des Klienten durch;NAME_BEKOMMEN
Wie lautet der Name der Dame im Wartezimmer;NAME_BEKOMMEN
Kennst du den Namen von Herrn Köhler;NAME_BEKOMMEN
Wer ist Frau Weber;NAME_BEKOMMEN
Wie heißt der Patient auf Zimmer drei;NAME_BEKOMMEN
Sag mir den Namen der Person die untersucht wird;NAME_BEKOMMEN
Wer ist Herr Hahn;NAME_BEKOMMEN
Wie heißt die ältere Patientin;NAME_BEKOMMEN
Wie lautet der Name des jungen Patienten;NAME_BEKOMMEN
Wie heißt der Klient den wir besuchen;NAME_BEKOMMEN
Wer ist der nächste Patient namentlich;NAME_BEKOMMEN
Wie lautet ihr Mädchenname;NAME_BEKOMMEN
Kennst du den Doppelnamen der Patientin;NAME_BEKOMMEN
Wie heißt der Patient genau mit Vorund Nachnamen;NAME_BEKOMMEN
Welchen Namen verwendet Frau Keller;NAME_BEKOMMEN
Wie heißt der Patient laut Ausweisfoto;NAME_BEKOMMEN
Wie lautet der offizielle Name des Klienten;NAME_BEKOMMEN
Wer ist Herr Vogt;NAME_BEKOMMEN
Wie nennt sich die Patientin;NAME_BEKOMMEN
Wie heißt die Person die behandelt werden soll;NAME_BEKOMMEN
Wie lautet sein vollständiger Name;NAME_BEKOMMEN

Wie alt ist der Patient;ALTER_BEKOMMEN
Wie alt ist die Patientin;ALTER_BEKOMMEN
Kannst du mir das Alter des Patienten nennen;ALTER_BEKOMMEN
Welches Alter hat der Klient;ALTER_BEKOMMEN
Weißt du wie alt Herr Müller ist;ALTER_BEKOMMEN
Wie alt ist Frau Schmidt;ALTER_BEKOMMEN
Wie alt ist der Mann den du behandelst;ALTER_BEKOMMEN
Wie alt ist die Dame im Wartezimmer;ALTER_BEKOMMEN
Welches Alter hat der Patient auf Zimmer drei;ALTER_BEKOMMEN
Wie alt ist der nächste Patient;ALTER_BEKOMMEN
Wie viele Jahre zählt die Patientin;ALTER_BEKOMMEN
Wie alt ist Herr Becker inzwischen;ALTER_BEKOMMEN
Was für ein Alter hat Frau Fischer;ALTER_BEKOMMEN
Hast du das Alter des Klienten parat;ALTER_BEKOMMEN
Wie alt ist der junge Patient;ALTER_BEKOMMEN
Wie alt ist die ältere Patientin;ALTER_BEKOMMEN
Kennst du das genaue Alter von Herrn Wagner;ALTER_BEKOMMEN
Wie alt ist Frau Meier;ALTER_BEKOMMEN
Wie alt ist der Patient den wir besuchen;ALTER_BEKOMMEN
Wie alt ist der Klient den du heute siehst;ALTER_BEKOMMEN
Wie viele Jahre hat Herr Braun;ALTER_BEKOMMEN
Wie alt ist die Patientin die eben ankam;ALTER_BEKOMMEN
Welches Alter hat der Patient aktuell;ALTER_BEKOMMEN
Wie alt ist die Person die operiert wird;ALTER_BEKOMMEN
Wie alt ist Herr Köhler;ALTER_BEKOMMEN
Wie alt ist Frau Weber;ALTER_BEKOMMEN
In welchem Alter befindet sich der Patient;ALTER_BEKOMMEN
Wie alt ist der Mann auf der Liste;ALTER_BEKOMMEN
Wie alt ist die Frau die wir aufnehmen;ALTER_BEKOMMEN
Weißt du das Geburtsjahr des Patienten;ALTER_BEKOMMEN
Wie alt ist die Patientin ungefähr;ALTER_BEKOMMEN
Welches Alter hat der Klient derzeit;ALTER_BEKOMMEN
Wie alt ist Herr Vogt;ALTER_BEKOMMEN
Wie alt ist die Dame die gleich dran ist;ALTER_BEKOMMEN
Wie alt ist der Patient den du eben gesehen hast;ALTER_BEKOMMEN
Wie alt ist Frau Keller;ALTER_BEKOMMEN
Wie alt ist der Herr vor der Tür;ALTER_BEKOMMEN
Welches Alter hat die neue Patientin;ALTER_BEKOMMEN
Wie alt ist der Klient tatsächlich;ALTER_BEKOMMEN
Wie viele Jahre alt ist Herr Hahn;ALTER_BEKOMMEN
Wie alt ist die Patientin die wir pflegen;ALTER_BEKOMMEN
Kennst du sein Alter;ALTER_BEKOMMEN
Wie alt ist die Person mit Namen Maier;ALTER_BEKOMMEN
Wie alt ist der Patient der heute Morgen kam;ALTER_BEKOMMEN
Welches Alter hat Frau Ernst;ALTER_BEKOMMEN
Wie alt ist der Klient im Rollstuhl;ALTER_BEKOMMEN
Wie alt ist die Patientin in Zimmer fünf;ALTER_BEKOMMEN
Wie alt ist Herr Ludwig;ALTER_BEKOMMEN
In welchem Alter ist die Patientin heute;ALTER_BEKOMMEN
Wie alt ist der Patient der morgen entlassen wird;ALTER_BEKOMMEN

Wie lautet die Adresse des Patienten;ADDRESSE_BEKOMMEN
Wo wohnt die Patientin;ADDRESSE_BEKOMMEN
Kannst du mir die Anschrift von Herrn Müller geben;ADDRESSE_BEKOMMEN
Wie lautet die Adresse von Frau Schmidt;ADDRESSE_BEKOMMEN
Unter welcher Adresse finde ich den Klienten;ADDRESSE_BEKOMMEN
Wo ist der Wohnort des Patienten;ADDRESSE_BEKOMMEN
Kennst du die Straße in der die Patientin wohnt;ADDRESSE_BEKOMMEN
Wie lautet die Hausnummer von Herrn Becker;ADDRESSE_BEKOMMEN
In welchem Ort lebt der Patient;ADDRESSE_BEKOMMEN
Wie ist die Postleitzahl der Patientin;ADDRESSE_BEKOMMEN
Wo befindet sich die Wohnung des Klienten;ADDRESSE_BEKOMMEN
Gib mir bitte die Adresse von Frau Fischer;ADDRESSE_BEKOMMEN
Wo wohnt Herr Wagner;ADDRESSE_BEKOMMEN
Wie lautet der Wohnsitz des Patienten;ADDRESSE_BEKOMMEN
Welche Adresse hat Frau Meier;ADDRESSE_BEKOMMEN
Wo hat der Patient seinen Hauptwohnsitz;ADDRESSE_BEKOMMEN
Wie heißt die Straße in der Herr Braun lebt;ADDRESSE_BEKOMMEN
Wo genau wohnt die Patientin;ADDRESSE_BEKOMMEN
Sag mir die Adresse des Klienten;ADDRESSE_BEKOMMEN
Wo ist der Wohnort von Frau Weber;ADDRESSE_BEKOMMEN
Unter welcher Anschrift erreiche ich Herrn Köhler;ADDRESSE_BEKOMMEN
Wo lebt der Patient namens Vogt;ADDRESSE_BEKOMMEN
Wie lautet die Adresse der neuen Patientin;ADDRESSE_BEKOMMEN
Wo wohnt der Mann den du behandelst;ADDRESSE_BEKOMMEN
Welche Adresse hat die Dame im Rollstuhl;ADDRESSE_BEKOMMEN
Wo ist Herr Hahn zu Hause;ADDRESSE_BEKOMMEN
In welcher Stadt lebt die Patientin;ADDRESSE_BEKOMMEN
Gib mir die Anschrift des nächsten Patienten;ADDRESSE_BEKOMMEN
Wo kann ich Frau Keller antreffen;ADDRESSE_BEKOMMEN
Wie lautet die Adresse des Klienten namens Beck;ADDRESSE_BEKOMMEN
An welcher Adresse wohnt der Patient der heute kam;ADDRESSE_BEKOMMEN
Wo lebt die Patientin die wir morgen besuchen;ADDRESSE_BEKOMMEN
Kennst du die genaue Adresse von Herrn Ludwig;ADDRESSE_BEKOMMEN
Wo befindet sich der Wohnsitz von Frau Ernst;ADDRESSE_BEKOMMEN
Wie lautet die Heimatadresse des Patienten;ADDRESSE_BEKOMMEN
Wo wohnt der Patient zurzeit;ADDRESSE_BEKOMMEN
Unter welcher Adresse ist die Patientin gemeldet;ADDRESSE_BEKOMMEN
Wohin muss der Brief für Herrn Meier;ADDRESSE_BEKOMMEN
Wo findet man die Wohnung der Patientin;ADDRESSE_BEKOMMEN
Wie lautet die Anschrift des Klienten in Berlin;ADDRESSE_BEKOMMEN
Wo genau lebt der Patient mit Nachnamen Wagner;ADDRESSE_BEKOMMEN
An welchem Ort wohnt Frau Hahn;ADDRESSE_BEKOMMEN
Wie lautet die Adresse des älteren Patienten;ADDRESSE_BEKOMMEN
Wo wohnt der junge Klient;ADDRESSE_BEKOMMEN
Sag mir bitte die Straße von Frau Fischer;ADDRESSE_BEKOMMEN
Wo ist die Wohnadresse von Herrn Becker;ADDRESSE_BEKOMMEN
Welche Adresse benutze ich für die Patientin;ADDRESSE_BEKOMMEN
Wo wohnt der Patient in München;ADDRESSE_BEKOMMEN
Wie lautet die genaue Anschrift von Frau Maier;ADDRESSE_BEKOMMEN
Wo wohnt der Klient der angerufen hat;ADDRESSE_BEKOMMEN

Wann wurde der Patient geboren;GEBURTSDATUM_BEKOMMEN
Welches Geburtsdatum hat die Patientin;GEBURTSDATUM_BEKOMMEN
Kannst du mir den Geburtstag von Herrn Müller nennen;GEBURTSDATUM_BEKOMMEN
Wann hat Frau Schmidt Geburtstag;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde der Klient geboren;GEBURTSDATUM_BEKOMMEN
Weißt du das Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Wann ist Herr Becker geboren;GEBURTSDATUM_BEKOMMEN
Wann feiert die Patientin ihren Geburtstag;GEBURTSDATUM_BEKOMMEN
An welchem Datum kam Herr Wagner zur Welt;GEBURTSDATUM_BEKOMMEN
Wann ist Frau Meier geboren;GEBURTSDATUM_BEKOMMEN
Kennst du das Geburtsdatum von Herrn Braun;GEBURTSDATUM_BEKOMMEN
Wann wurde die Patientin geboren;GEBURTSDATUM_BEKOMMEN
Welches Datum steht bei Herrn Köhler als Geburtstag;GEBURTSDATUM_BEKOMMEN
Wann ist Herr Vogt zur Welt gekommen;GEBURTSDATUM_BEKOMMEN
Wann wurde die Patientin namens Fischer geboren;GEBURTSDATUM_BEKOMMEN
An welchem Tag hatte Herr Hahn Geburtstag;GEBURTSDATUM_BEKOMMEN
Welches Geburtsjahr hat die Patientin;GEBURTSDATUM_BEKOMMEN
Wann kam der Patient auf die Welt;GEBURTSDATUM_BEKOMMEN
Wann wurde Frau Weber geboren;GEBURTSDATUM_BEKOMMEN
Wann ist der Geburtstag des Klienten;GEBURTSDATUM_BEKOMMEN
Wann genau wurde Herr Ludwig geboren;GEBURTSDATUM_BEKOMMEN
Welcher Tag ist der Geburtstag der Patientin;GEBURTSDATUM_BEKOMMEN
Kennst du das genaue Geburtsdatum des Patienten;GEBURTSDATUM_BEKOMMEN
Wann wurde der junge Patient geboren;GEBURTSDATUM_BEKOMMEN
Wann ist Frau Keller geboren;GEBURTSDATUM_BEKOMMEN
Am welchen Datum feiert Herr Becker seinen Geburtstag;GEBURTSDATUM_BEKOMMEN
Wann kam die Patientin zur Welt;GEBURTSDATUM_BEKOMMEN
Welches Datum ist der Geburtstag von Herrn Hahn;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde Frau Ernst geboren;GEBURTSDATUM_BEKOMMEN
Wann ist der Geburtstag des nächsten Patienten;GEBURTSDATUM_BEKOMMEN
Wann wurde Herr Meier geboren;GEBURTSDATUM_BEKOMMEN
Kennst du den Geburtstag von Frau Maier;GEBURTSDATUM_BEKOMMEN
Welches Geburtsdatum hat der Klient namens Beck;GEBURTSDATUM_BEKOMMEN
Wann ist die Patientin genau geboren;GEBURTSDATUM_BEKOMMEN
An welchem Datum wurde Herr Wagner geboren;GEBURTSDATUM_BEKOMMEN
Wann feiert die Patientin ihren nächsten Geburtstag;GEBURTSDATUM_BEKOMMEN
Welches Geburtsjahr hat Herr Braun;GEBURTSDATUM_BEKOMMEN
Wann kam Frau Fischer auf die Welt;GEBURTSDATUM_BEKOMMEN
Wann wurde der Patient mit Nachnamen Vogt geboren;GEBURTSDATUM_BEKOMMEN
An welchem Tag wurde die Patientin im Rollstuhl geboren;GEBURTSDATUM_BEKOMMEN
Wann ist Herr Köhler geboren;GEBURTSDATUM_BEKOMMEN
Wann hat die Patientin Geburtstag;GEBURTSDATUM_BEKOMMEN
Auf welches Datum fällt der Geburtstag von Herrn Ludwig;GEBURTSDATUM_BEKOMMEN
Wann wurde der Klient den wir besuchen geboren;GEBURTSDATUM_BEKOMMEN
Wann ist der Geburtstag der älteren Patientin;GEBURTSDATUM_BEKOMMEN
Kennst du das Geburtsdatum von Frau Weber;GEBURTSDATUM_BEKOMMEN
Wann wurde Herr Becker genau geboren;GEBURTSDATUM_BEKOMMEN
Wann kam die Patientin zur Welt;GEBURTSDATUM_BEKOMMEN
Welcher Tag ist der Geburtstag von Herrn Meier;GEBURTSDATUM_BEKOMMEN
Wann wurde die nächste Patientin geboren;GEBURTSDATUM_BEKOMMEN

Wie lautet die Sozialversicherungsnummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kannst du mir die Sozialversicherungsnummer der Patientin sagen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat Herr Müller;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Frau Schmidt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir bitte die Sozialversicherungsnummer des Klienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die SV-Nummer des Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Herrn Becker;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche SV-Nummer hat die Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die SV-Nummer von Herrn Wagner;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Frau Fischer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Hast du die SV-Nummer des Klienten parat;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer besitzt Herr Braun;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die SV-Nummer der Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Bitte nenne mir die Sozialversicherungsnummer von Herrn Köhler;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die Sozialversicherungsnummer von Frau Weber;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die SV-Nummer des Patienten namens Vogt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat der nächste Patient;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie heißt die SV-Nummer von Frau Meier;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat Herr Ludwig;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir die SV-Nummer der Patientin die eben kam;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer des jungen Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die SV-Nummer von Frau Keller;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat Herr Hahn;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die SV-Nummer der Dame im Wartezimmer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Sozialversicherungsnummer des Patienten auf Zimmer drei;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Bitte die SV-Nummer von Herrn Ernst;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat die ältere Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die SV-Nummer von Frau Maier;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die Sozialversicherungsnummer von Herrn Beck;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche SV-Nummer besitzt die Patientin namens Fischer;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Herrn Vogt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir die SV-Nummer des Klienten den wir besuchen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat Frau Hahn;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die SV-Nummer des Patienten den du behandelst;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die Sozialversicherungsnummer von Herrn Becker;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche SV-Nummer hat der Patient der heute kam;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Frau Ludwig;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Gib mir bitte die SV-Nummer des Klienten namens Braun;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat die Patientin in Zimmer fünf;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer des neuen Patienten;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die Sozialversicherungsnummer von Frau Vogt;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer besitzt Herr Meier;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer des Klienten im Rollstuhl;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Was ist die Sozialversicherungsnummer von Frau Keller;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat der ältere Herr;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer der jungen Patientin;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Kennst du die Sozialversicherungsnummer von Herrn Hahn;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Welche Sozialversicherungsnummer hat die Patientin namens Ernst;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Wie lautet die Sozialversicherungsnummer von Herrn Köhler;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN
Bitte nenne mir die Sozialversicherungsnummer der Patientin die wir entlassen;SOZIALVERSICHERUNGSNUMMER_BEKOMMEN

Wie lautet die Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Telefonnummer des Patienten anzeigen;TELEFONNUMMER_BEKOMMEN
Ich brauche die Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Zeig mir bitte die Telefonnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Welche Nummer hat der Patient;TELEFONNUMMER_BEKOMMEN
Gib mir bitte die Telefonnummer vom Patienten;TELEFONNUMMER_BEKOMMEN
Ich suche die Handynummer des Patienten;TELEFONNUMMER_BEKOMMEN
Zeig mir die Telefonnummer eines Angehörigen;TELEFONNUMMER_BEKOMMEN
Kannst du mir die Nummer der Angehörigen nennen;TELEFONNUMMER_BEKOMMEN
Telefonnummer vom nächsten Angehörigen anzeigen bitte;TELEFONNUMMER_BEKOMMEN
Wie erreiche ich den Patienten telefonisch;TELEFONNUMMER_BEKOMMEN
Ich benötige die Telefonnummer vom Patienten;TELEFONNUMMER_BEKOMMEN
Wer ist telefonisch für den Patienten erreichbar;TELEFONNUMMER_BEKOMMEN
Gib mir die Kontaktdaten des Patienten;TELEFONNUMMER_BEKOMMEN
Telefonkontakt zum Patienten anzeigen;TELEFONNUMMER_BEKOMMEN
Wie lautet die Mobilnummer des Patienten;TELEFONNUMMER_BEKOMMEN
Ich möchte die Telefonnummer eines Familienmitglieds wissen;TELEFONNUMMER_BEKOMMEN
Bitte gib mir die Handynummer eines Angehörigen;TELEFONNUMMER_BEKOMMEN
Nummer der Bezugsperson bitte anzeigen;TELEFONNUMMER_BEKOMMEN
Kontakttelefonnummer vom Patienten abrufen;TELEFONNUMMER_BEKOMMEN
Telefonnummer vom nächsten Angehörigen anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Wer ist als Notfallkontakt hinterlegt;TELEFONNUMMER_BEKOMMEN
Telefonnummer vom Notfallkontakt anzeigen;TELEFONNUMMER_BEKOMMEN
Wie kann ich die Angehörigen telefonisch erreichen;TELEFONNUMMER_BEKOMMEN
Telefonnummer der Familie anzeigen bitte;TELEFONNUMMER_BEKOMMEN
Zeig mir die Telefonnummer eines Kontaktes des Patienten;TELEFONNUMMER_BEKOMMEN
Wie lautet die Telefonnummer der Bezugsperson;TELEFONNUMMER_BEKOMMEN
Ich brauche die Telefonnummer vom Notfallkontakt;TELEFONNUMMER_BEKOMMEN
Kontakttelefonnummer eines Angehörigen anzeigen;TELEFONNUMMER_BEKOMMEN
Welche Nummer ist für die Familie eingetragen;TELEFONNUMMER_BEKOMMEN
Bitte gib mir die Telefonnummer der Familie des Patienten;TELEFONNUMMER_BEKOMMEN
Mobilnummer des Patienten anzeigen lassen;TELEFONNUMMER_BEKOMMEN
Rufnummer eines Angehörigen bitte anzeigen;TELEFONNUMMER_BEKOMMEN
